model,variant,split,accuracy,precision,recall,f1,roc_auc
logreg,baseline,train,0.777569392348087,0.37298636926889717,0.7757731958762887,0.503765690376569,0.8455180887557361
logreg,baseline,test,0.7766116941529235,0.365,0.7684210526315789,0.49491525423728816,0.8187707029812292
knn,baseline,train,1.0,1.0,1.0,1.0,1.0
knn,baseline,test,0.8860569715142429,0.9523809523809523,0.21052631578947367,0.3448275862068966,0.8730769230769231
rf,baseline,train,1.0,1.0,1.0,1.0,1.0
rf,baseline,test,0.9445277361319341,1.0,0.6105263157894737,0.7581699346405228,0.9292510121457489
logreg,tuned,train,0.7801950487621906,0.37531486146095716,0.7680412371134021,0.5042301184433164,0.8427416435107663
logreg,tuned,test,0.7781109445277361,0.3694581280788177,0.7894736842105263,0.5033557046979866,0.8259293338240707
knn,tuned,train,0.9268567141785446,0.9447004608294931,0.5283505154639175,0.6776859504132231,0.9706233085633084
knn,tuned,test,0.896551724137931,0.7708333333333334,0.3894736842105263,0.5174825174825175,0.7668108207581893
rf,tuned,train,1.0,1.0,1.0,1.0,1.0
rf,tuned,test,0.95952023988006,0.9358974358974359,0.7684210526315789,0.8439306358381503,0.9198840633051159
