model,variant,split,accuracy,precision,recall,f1,roc_auc
hgb,baseline,train,1.0,1.0,1.0,1.0,1.0
hgb,baseline,test,0.952023988005997,0.8987341772151899,0.7473684210526316,0.8160919540229885,0.9051159366948839
et,baseline,train,1.0,1.0,1.0,1.0,1.0
et,baseline,test,0.9205397301349325,0.92,0.4842105263157895,0.6344827586206897,0.9096705925653293
rf,baseline,train,1.0,1.0,1.0,1.0,1.0
rf,baseline,test,0.9385307346326837,0.9354838709677419,0.6105263157894737,0.7388535031847133,0.9112808244387192
hgb,tuned,train,1.0,1.0,1.0,1.0,1.0
hgb,tuned,test,0.9580209895052474,0.9036144578313253,0.7894736842105263,0.8426966292134831,0.9097718071402281
et,tuned,train,0.9996249062265566,0.9974293059125964,1.0,0.9987129987129987,1.0
et,tuned,test,0.9505247376311844,0.8780487804878049,0.7578947368421053,0.8135593220338984,0.9239050423260949
rf,tuned,train,0.9984996249062266,0.9897959183673469,1.0,0.9948717948717949,0.9998766778599423
rf,tuned,test,0.95952023988006,0.9047619047619048,0.8,0.8491620111731844,0.9143908722856092
